City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
511,Champerico,GT,82.35,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
512,Turayf,SA,77.25,clear sky,31.6725,38.6637,Turaif
517,Cleburne,US,86.68,clear sky,32.3476,-97.3867,"Holiday Inn Express & Suites Cleburne, an IHG Hotel"
518,Minas De Barroteran,MX,86.56,few clouds,27.6333,-101.2833,Motel Venecia
520,Uvalde,US,80.53,clear sky,29.3669,-99.767,
524,Moa,CU,77.97,overcast clouds,20.6569,-74.9403,Carmen
527,Zhuhai,CN,87.78,scattered clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
531,Arlit,NE,86.95,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
532,Aden,YE,87.31,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
537,Gazli,UZ,81.52,clear sky,40.1333,63.45,
538,Barinas,VE,80.64,overcast clouds,8.6226,-70.2075,Hotel Mastranto Suite
543,Basco,PH,84.74,scattered clouds,20.4487,121.9702,Nathaniel's Lodge
545,Tambilil,PH,87.69,overcast clouds,5.9622,124.6697,Wilfredo Sotto Home
548,Helong,CN,83.39,overcast clouds,42.5397,128.9972,Helong Hotel
555,Bayan,CN,82.78,overcast clouds,46.0833,127.4,Wanhao Inn
559,Payo,ID,88.05,moderate rain,-3.7508,103.6372,Mess keban agung
566,Encheng,CN,85.96,overcast clouds,22.1839,112.3026,Pinghu Hostel
567,Arawa,PG,83.53,light rain,-6.2132,155.5367,Coastline Guest House
569,Mozarlandia,BR,76.42,overcast clouds,-14.7447,-50.5706,Hotel Santa Mônica
571,Porbandar,IN,89.58,haze,21.6422,69.6093,Lords Inn Porbandar
575,Seoul,KR,86.41,overcast clouds,37.5683,126.9778,Lotte Hotel Seoul
576,Abu Dhabi,AE,89.62,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
578,Kudahuvadhoo,MV,83.01,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
582,Iraray,PH,86.05,scattered clouds,8.9936,118.0511,
583,Tera,NE,89.31,scattered clouds,14.0078,0.7531,Hotel Dar es salam
584,Anloga,GH,80.82,scattered clouds,5.7947,0.8973,Pin Drop Hotel
585,Road Town,VG,81.19,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
588,Tanggu,CN,76.96,moderate rain,39.0211,117.6469,Ibis Tianjin Tanggu Hotel
589,Puebloviejo,CO,83.1,broken clouds,10.9938,-74.2844,The Journey Hostel
591,Wawa,NG,78.33,few clouds,9.9022,4.4192,
592,Diffa,NE,85.23,scattered clouds,13.3154,12.6113,ProDAF/Diffa
598,Kuryk,KZ,81.25,scattered clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
599,Brownsville,US,81.91,scattered clouds,25.9018,-97.4975,University Inn & Suites
600,Trairi,BR,76.55,few clouds,-3.2778,-39.2689,janelas do mar
603,Takoradi,GH,78.87,light rain,4.8845,-1.7554,Raybow International Hotel
605,Kibala,TD,75.15,clear sky,9.1104,18.3463,hotel safari
612,Turtas,RU,75.69,broken clouds,58.9417,69.1325,Domashnyaya Gostinitsa
615,Le Moule,GP,78.84,overcast clouds,16.3332,-61.3473,Lakaz Hananou
616,Keningau,MY,86.45,overcast clouds,5.3378,116.1602,Sabindo Hotel
622,Strezhevoy,RU,75.18,broken clouds,60.7333,77.5889,Sibiryachka
624,Kalmunai,LK,87.12,overcast clouds,7.4167,81.8167,VS Villa
625,Zeya,RU,78.01,overcast clouds,53.75,127.2667,Kapital Inn
630,Sao Jose De Ribamar,BR,77.38,broken clouds,-2.5619,-44.0542,Mediterrânea Hotel e Restaurante
632,Palu,ID,87.49,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
637,Izvestkovyy,RU,77.18,broken clouds,48.9833,131.55,
642,Hasaki,JP,77.29,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
650,Naze,JP,77.92,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
655,Changuinola,PA,78.04,overcast clouds,9.4333,-82.5167,ApartHotel Villa Esmeralda
658,Myanaung,MM,82.08,overcast clouds,18.2833,95.3167,Taung Hlay Khar
659,Guymon,US,75.22,clear sky,36.6828,-101.4816,Super 8 Guymon
661,Port-Gentil,GA,77.16,broken clouds,-0.7193,8.7815,Fengshui Residence
664,Nioro,GM,80.6,overcast clouds,13.35,-15.75,
667,Ust-Ishim,RU,77.77,broken clouds,57.6935,71.1665,"Velichko T.p., Gostinitsa"
668,Jha Jha,IN,85.5,heavy intensity rain,24.7667,86.3667,Barnwal Dharmshala
669,Los Alamos,US,78.39,broken clouds,35.8881,-106.307,"Holiday Inn Express & Suites Los Alamos Entrada Park, an IHG Hotel"
671,Fomboni,KM,77.81,clear sky,-12.28,43.7425,Pension Paradis
678,Kutum,SD,77.29,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
680,Loandjili,CG,75.31,mist,-4.7561,11.8578,Résidence ARCHANGE
682,Dahanu,IN,84.79,broken clouds,19.9667,72.7333,Pearline Beach Villas
683,Kiunga,PG,85.32,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
686,Ambon,ID,78.94,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
691,Carmen,MX,79.61,overcast clouds,18.6333,-91.8333,Hotel Lossandes
698,Lamin,GM,75.31,overcast clouds,13.3522,-16.4339,Jerreh Camp Lodge
701,Dasoguz,TM,84.15,clear sky,41.8363,59.9666,Hotel Erik
702,Dakar,SN,77.88,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
