City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
207,Impfondo,CG,1.6381,18.0667,68.76,97,94,2.98,overcast clouds
208,Kargasok,RU,59.0556,80.8572,68.58,45,7,5.5,clear sky
209,Tullahoma,US,35.362,-86.2094,76.66,94,20,1.99,few clouds
210,Sao Joao Da Barra,BR,-21.6403,-41.0511,65.23,76,97,9.31,overcast clouds
211,Bandarbeyla,SO,9.4942,50.8122,82.06,62,99,24.67,overcast clouds
212,Lindsay,US,36.203,-119.0882,85.71,56,5,5.03,clear sky
213,Esperance,AU,-33.8667,121.9,55.24,67,56,29.37,light rain
214,Yerbogachen,RU,61.2767,108.0108,63.16,56,99,10.67,light rain
215,Chuy,UY,-33.6971,-53.4616,54.48,90,0,6.06,clear sky
216,Kapaa,US,22.0752,-159.319,82.38,78,74,3.0,broken clouds
217,Banjar,ID,-8.19,114.9675,82.26,77,100,2.62,overcast clouds
218,Orlovskiy,RU,46.8714,42.0592,69.19,72,30,2.08,scattered clouds
219,Manakara,MG,-22.1333,48.0167,64.8,95,100,5.59,light rain
220,Barranca,PE,-10.75,-77.7667,64.15,84,3,6.62,clear sky
221,Lebu,CL,-37.6167,-73.65,48.58,79,100,18.86,overcast clouds
222,Slavsk,RU,55.0425,21.677,49.42,75,21,2.86,few clouds
223,Awbari,LY,26.5921,12.7805,75.83,29,0,6.73,clear sky
224,Changde,CN,29.0464,111.6783,92.7,60,65,12.44,broken clouds
225,Santa Rosa,PH,14.3122,121.1114,90.09,64,100,4.47,overcast clouds
226,Sakmara,RU,51.9844,55.3338,69.82,51,79,11.54,light rain
227,Richards Bay,ZA,-28.783,32.0377,65.44,41,0,4.88,clear sky
228,Varangaon,IN,21.0167,75.9,87.98,61,100,18.66,overcast clouds
229,Thompson,CA,55.7435,-97.8558,46.56,87,40,4.61,scattered clouds
230,Ballina,AU,-28.8667,153.5667,69.98,47,0,2.68,clear sky
231,Grand Gaube,MU,-20.0064,57.6608,75.38,61,22,7.0,few clouds
232,Upernavik,GL,72.7868,-56.1549,34.21,78,100,5.59,overcast clouds
233,Camana,PE,-16.6228,-72.7111,62.8,83,1,4.29,clear sky
234,Koutsouras,GR,35.0339,25.9469,71.85,62,1,3.47,clear sky
235,Kavieng,PG,-2.5744,150.7967,85.48,64,8,9.28,clear sky
236,Guerrero Negro,MX,27.9769,-114.0611,62.94,90,26,10.94,scattered clouds
237,Cururupu,BR,-1.8283,-44.8683,73.33,98,91,2.44,overcast clouds
238,Domna,RU,51.8971,113.1573,68.16,40,99,11.18,overcast clouds
239,Hay River,CA,60.8156,-115.7999,55.38,67,40,4.61,scattered clouds
240,Cidreira,BR,-30.1811,-50.2056,59.2,79,0,13.15,clear sky
241,San Matias,BO,-16.3667,-58.4,67.73,68,0,3.04,clear sky
242,Smidovich,RU,48.6,133.8167,69.8,63,34,6.67,scattered clouds
243,Shenjiamen,CN,29.9576,122.298,76.24,89,39,8.93,scattered clouds
244,Ojinaga,MX,29.5667,-104.4167,94.15,17,1,9.22,clear sky
245,Bac Lieu,VN,9.285,105.7244,88.59,60,31,7.67,scattered clouds
246,Srandakan,ID,-7.9386,110.2506,70.74,71,100,10.83,overcast clouds
247,Ilulissat,GL,69.2167,-51.1,37.42,75,90,4.61,overcast clouds
248,Forssa,FI,60.8146,23.6215,54.14,66,97,5.39,overcast clouds
249,Yabelo,ET,4.8833,38.0833,56.66,73,50,4.09,scattered clouds
250,Singaraja,ID,-8.112,115.0882,82.98,76,100,3.09,overcast clouds
251,Beloha,MG,-25.1667,45.05,63.9,94,11,3.65,few clouds
252,Kungurtug,RU,50.5994,97.5228,59.38,36,72,7.72,broken clouds
253,Raton,US,36.9034,-104.4391,68.05,61,39,4.36,scattered clouds
254,Kavos,GR,38.8268,22.8322,64.98,86,100,1.01,overcast clouds
255,Miraflores,MX,19.2167,-98.8083,57.87,93,100,3.42,overcast clouds
256,Maceio,BR,-9.6658,-35.7353,75.92,84,70,7.14,broken clouds
257,Scarborough,GB,54.2797,-0.4044,63.97,86,42,3.0,scattered clouds
258,Havre-Saint-Pierre,CA,50.2334,-63.5986,37.76,87,20,6.91,few clouds
259,Pacific Grove,US,36.6177,-121.9166,68.02,89,75,4.0,broken clouds
260,Ilanskiy,RU,56.2358,96.065,53.64,72,97,14.52,light rain
261,Atar,MR,20.5169,-13.0499,92.79,13,58,18.34,broken clouds
262,Phan Thiet,VN,10.9333,108.1,88.48,58,85,9.8,overcast clouds
263,Kodiak,US,57.79,-152.4072,51.44,79,8,8.16,clear sky
264,Kangaatsiaq,GL,68.3065,-53.4641,34.93,85,98,2.73,overcast clouds
265,Curtea,RO,45.8167,22.3,48.67,90,11,1.43,few clouds
266,Hofn,IS,64.2539,-15.2082,37.51,67,99,18.07,overcast clouds
267,Port Lincoln,AU,-34.7333,135.8667,62.91,50,40,7.87,scattered clouds
268,Chisec,GT,15.8167,-90.2833,72.39,99,93,3.06,overcast clouds
269,Aksha,RU,50.2814,113.2867,73.02,39,100,8.68,overcast clouds
270,Maragogi,BR,-9.0122,-35.2225,74.23,89,62,7.09,broken clouds
271,Matamoros,MX,25.5333,-103.25,84.11,35,62,21.16,broken clouds
272,Krasnokholmskiy,RU,55.9873,55.0466,67.01,66,83,8.08,broken clouds
273,Bathsheba,BB,13.2167,-59.5167,81.21,83,40,23.02,scattered clouds
274,Oktyabrskiy,RU,54.4815,53.471,70.47,59,91,4.92,overcast clouds
275,Nazilli,TR,37.9163,28.3223,63.7,69,50,2.13,scattered clouds
276,Mingyue,CN,43.1069,128.9217,83.91,42,88,4.7,overcast clouds
277,Sokode,TG,8.9833,1.1333,71.02,91,32,2.26,scattered clouds
278,Brae,GB,60.3964,-1.353,49.91,89,81,21.99,broken clouds
279,Egvekinot,RU,66.3167,-179.1667,42.6,64,100,8.93,overcast clouds
280,Yulara,AU,-25.2406,130.9889,67.84,40,40,6.91,scattered clouds
281,Dali,CN,25.7,100.1833,74.86,69,87,5.19,overcast clouds
282,Guasdualito,VE,7.2424,-70.7324,71.89,97,49,1.66,scattered clouds
283,Riobamba,EC,-1.6667,-78.6333,49.33,95,92,1.9,overcast clouds
284,Tevaitoa,PF,-16.7833,-151.5,79.83,79,96,14.83,light rain
285,Yaan,NG,7.3833,8.5667,75.51,87,98,6.64,overcast clouds
286,Airai,TL,-8.9266,125.4092,75.56,45,54,3.65,broken clouds
287,Ndioum,SN,16.5129,-14.6471,76.21,64,98,14.92,overcast clouds
288,Hearst,CA,49.6835,-83.6665,57.45,92,82,5.06,broken clouds
289,Udachnyy,RU,66.4167,112.4,47.1,72,100,11.81,light rain
290,Maryville,US,35.7565,-83.9705,77.09,87,53,2.39,broken clouds
291,Mayo,US,38.8876,-76.5119,71.76,84,20,1.01,few clouds
292,Kefalos,GR,36.7453,26.9589,68.22,73,0,8.05,clear sky
293,Berlevag,NO,70.8578,29.0864,46.4,74,33,23.51,scattered clouds
294,Shahrud,IR,36.4182,54.9763,76.51,43,0,12.33,clear sky
295,Te Anau,NZ,-45.4167,167.7167,53.56,92,100,0.43,overcast clouds
296,Tahta,EG,26.7693,31.5021,80.92,41,4,13.53,clear sky
297,Cairns,AU,-16.9167,145.7667,89.06,77,56,5.75,broken clouds
298,Verkhnetulomskiy,RU,68.6073,31.7962,51.93,71,9,6.04,clear sky
299,Ambilobe,MG,-13.2,49.05,70.5,90,2,2.37,clear sky
300,Monte Alegre,BR,-2.0078,-54.0692,73.38,89,30,4.07,scattered clouds
301,Necochea,AR,-38.5473,-58.7368,53.04,82,100,9.31,overcast clouds
302,Anshun,CN,26.25,105.9333,74.19,75,90,17.05,overcast clouds
303,Sharjah,AE,25.3573,55.4033,92.25,79,20,11.5,few clouds
304,Biak,ID,-0.9131,122.8766,80.31,77,90,5.95,overcast clouds
305,Sapouy,BF,11.5544,-1.7736,80.24,62,70,5.91,broken clouds
306,Iqaluit,CA,63.7506,-68.5145,33.53,86,90,3.0,overcast clouds
307,Geraldton,AU,-28.7667,114.6,70.12,72,75,10.36,broken clouds
308,Mahuva,IN,21.0914,71.7622,88.66,63,33,13.6,scattered clouds
309,Boa Vista,BR,2.8197,-60.6733,80.58,78,0,5.75,clear sky
310,Santa Cruz,BO,-17.8,-63.1667,58.87,69,0,5.23,clear sky
311,Chhatapur,IN,26.2167,87.0167,82.96,82,100,14.67,overcast clouds
312,Mitu,CO,1.1983,-70.1733,71.56,99,96,1.25,overcast clouds
313,Bulgan,MN,48.8125,103.5347,61.57,64,100,4.05,light rain
314,Korla,CN,41.7597,86.1469,72.79,25,100,15.3,overcast clouds
315,Straumen,NO,63.8709,11.2999,52.5,90,100,9.22,light rain
316,Koroni,GR,36.8,21.95,69.08,78,7,8.28,clear sky
317,Saint George,US,37.1041,-113.5841,93.67,12,18,6.17,few clouds
318,Port Moresby,PG,-9.4431,147.1797,87.22,70,40,13.8,haze
319,Isangel,VU,-19.55,169.2667,78.46,79,31,11.65,scattered clouds
320,Gat,IL,31.61,34.7642,72.91,100,0,3.33,clear sky
321,Savannah Bight,HN,16.45,-85.85,82.0,84,100,23.09,overcast clouds
322,Camacha,PT,33.0833,-16.3333,65.16,88,40,16.11,scattered clouds
323,Vila Velha,BR,-20.3297,-40.2925,56.95,84,56,11.81,broken clouds
324,Kismayo,SO,-0.3582,42.5454,78.19,78,88,15.77,overcast clouds
325,Barcelos,PT,41.5388,-8.6151,67.84,91,11,3.36,few clouds
326,Padang,ID,-0.9492,100.3543,86.05,82,22,3.94,few clouds
327,Ornskoldsvik,SE,63.2909,18.7153,52.75,71,75,2.3,broken clouds
328,Marovoay,MG,-16.1,46.6333,71.74,84,99,1.88,overcast clouds
329,Pangai,TO,-19.8,-174.35,78.91,53,75,17.27,broken clouds
330,Lata,PT,40.1629,-8.3327,61.21,91,24,0.96,few clouds
331,Griffith,US,41.5284,-87.4237,76.05,65,1,3.44,clear sky
332,Yuzhno-Sukhokumsk,RU,44.6581,45.6436,69.82,72,6,4.38,clear sky
333,Mahebourg,MU,-20.4081,57.7,75.25,68,40,14.97,scattered clouds
334,Stromness,GB,58.965,-3.296,52.05,84,19,25.19,few clouds
335,Poya,NC,-21.35,165.15,81.0,54,41,6.98,scattered clouds
336,Vaitape,PF,-16.5167,-151.75,80.02,78,81,14.09,broken clouds
337,Yamada,JP,39.4667,141.95,74.75,70,44,7.36,scattered clouds
338,Almaznyy,RU,48.0448,40.045,62.74,69,8,0.81,clear sky
